,DESCRICAO_UE,SIGLA_UE,SIGLA_UF
231170,CASCAVEL,74934,PR
231383,CASTRO,74950,PR
231509,CATANDUVAS,74977,PR
231558,CENTENARIO DO SUL,74993,PR
231632,CERRO AZUL,75019,PR
231698,CEU AZUL,79570,PR
231744,CHOPINZINHO,75035,PR
231785,CIANORTE,75051,PR
231879,CIDADE GAUCHA,75078,PR
231923,CLEVELANDIA,75094,PR
231962,COLOMBO,75132,PR
232199,COLORADO,75159,PR
232249,CONGONHINHAS,75175,PR
232294,CONSELHEIRO MAYRINCK,75191,PR
232330,CONTENDA,75213,PR
232407,CORBELIA,75230,PR
232444,CORNELIO PROCOPIO,75256,PR
232568,CORONEL DOMINGOS SOARES,75248,PR
232614,CORONEL VIVIDA,75272,PR
232677,CORUMBATAI DO SUL,75280,PR
232731,CRUZ MACHADO,75337,PR
232779,CRUZEIRO DO IGUACU,74241,PR
232801,CRUZEIRO DO OESTE,75299,PR
232899,CRUZEIRO DO SUL,75310,PR
232934,CRUZMALTINA,75264,PR
232966,CURITIBA,75353,PR
233618,CURIUVA,75370,PR
233686,DIAMANTE DO NORTE,75396,PR
233749,DIAMANTE DO OESTE,75400,PR
233803,DIAMANTE DO SUL,74268,PR
233851,DOIS VIZINHOS,75418,PR
233923,DOURADINA,84654,PR
233968,DOUTOR CAMARGO,75434,PR
234032,DOUTOR ULYSSES,74942,PR
234067,ENEAS MARQUES,75450,PR
234080,ENGENHEIRO BELTRAO,75477,PR
234149,ENTRE RIOS DO OESTE,74284,PR
234175,ESPERANCA NOVA,75302,PR
234208,ESPIGAO ALTO DO IGUACU,75329,PR
234241,FAROL,74306,PR
234283,FAXINAL,75493,PR
234346,FAZENDA RIO GRANDE,74322,PR
234489,FENIX,75515,PR
234555,FERNANDES PINHEIRO,75345,PR
234622,FIGUEIRA,84573,PR
234706,FLOR DA SERRA DO SUL,74349,PR
234734,FLORAI,75531,PR
234781,FLORESTA,75558,PR
234819,FLORESTOPOLIS,75574,PR
234908,FLORIDA,75590,PR
234938,FORMOSA DO OESTE,75612,PR
234989,FOZ DO IGUACU,75639,PR
235154,FOZ DO JORDAO,75361,PR
235221,FRANCISCO ALVES,79774,PR
235257,FRANCISCO BELTRAO,75655,PR
235340,GENERAL CARNEIRO,75671,PR
235406,GODOY MOREIRA,74004,PR
235471,GOIOERE,75698,PR
235563,GOIOXIM,75388,PR
235598,GRANDES RIOS,79596,PR
235632,GUAIRA,75710,PR
235741,GUAIRACA,75736,PR
235784,GUAMIRANGA,75426,PR
235823,GUAPIRAMA,75752,PR
235863,GUAPOREMA,75779,PR
235892,GUARACI,75795,PR
235924,GUARANIACU,75817,PR
235975,GUARAPUAVA,75833,PR
236159,GUARAQUECABA,75850,PR
236229,GUARATUBA,75876,PR
236351,HONORIO SERPA,74365,PR
236382,IBAITI,75892,PR
236479,IBEMA,74020,PR
236522,IBIPORA,75914,PR
236656,ICARAIMA,75930,PR
236709,IGUARACU,75957,PR
236755,IGUATU,74381,PR
236794,IMBAU,75442,PR
236875,IMBITUVA,75973,PR
236981,INACIO MARTINS,75990,PR
237066,INAJA,76015,PR
237106,INDIANOPOLIS,79618,PR
237159,IPIRANGA,76031,PR
237209,IPORA,76058,PR
237251,IRACEMA DO OESTE,74403,PR
237277,IRATI,76074,PR
237414,IRETAMA,76090,PR
237477,ITAGUAGE,76112,PR
237520,ITAIPULANDIA,75000,PR
237575,ITAMBARACA,76139,PR
237629,ITAMBE,76155,PR
237676,ITAPEJARA DO OESTE,76171,PR
237721,ITAPERUCU,74446,PR
237814,ITAUNA DO SUL,76198,PR
237842,IVAI,76210,PR
237896,IVAIPORA,76236,PR
237980,IVATE,74462,PR
238049,IVATUBA,76252,PR
238084,JABOTI,76279,PR
238103,JACAREZINHO,76295,PR
238250,JAGUAPITA,76317,PR
238298,JAGUARIAIVA,76333,PR
238404,JANDAIA DO SUL,76350,PR
238472,JANIOPOLIS,76376,PR
238510,JAPIRA,76392,PR
238565,JAPURA,76414,PR
238601,JARDIM ALEGRE,76430,PR
238665,JARDIM OLINDA,76457,PR
238699,JATAIZINHO,76473,PR
238779,JESUITAS,79979,PR
238819,JOAQUIM TAVORA,76490,PR
238877,JUNDIAI DO SUL,76511,PR
238918,JURANDA,84638,PR
238953,JUSSARA,76538,PR
238994,KALORE,76554,PR
239028,LAPA,76570,PR
239087,LARANJAL,74985,PR
239131,LARANJEIRAS DO SUL,76597,PR
239198,LEOPOLIS,76619,PR
239250,LIDIANOPOLIS,74489,PR
239291,LINDOESTE,74047,PR
239337,LOANDA,76635,PR
239396,LOBATO,76651,PR
239428,LONDRINA,76678,PR
239804,LUISIANIA,75809,PR
239850,LUNARDELLI,84590,PR
239916,LUPIONOPOLIS,76694,PR
239961,MALLET,76716,PR
240024,MAMBORE,76732,PR
240109,MANDAGUACU,76759,PR
240181,MANDAGUARI,76775,PR
240291,MANDIRITUBA,76791,PR
240379,MANFRINOPOLIS,75469,PR
240406,MANGUEIRINHA,75116,PR
240467,MANOEL RIBAS,76813,PR
240529,MARECHAL CANDIDO RONDON,76830,PR
240637,MARIA HELENA,76856,PR
240703,MARIALVA,76872,PR
240810,MARILANDIA DO SUL,74330,PR
240891,MARILENA,79758,PR
240974,MARILUZ,76899,PR
241027,MARINGA,76910,PR
241245,MARIOPOLIS,76937,PR
241268,MARIPA,74500,PR
241295,MARMELEIRO,76953,PR
241338,MARQUINHO,75485,PR
241387,MARUMBI,76970,PR
241425,MATELANDIA,76996,PR
241461,MATINHOS,79634,PR
241592,MATO RICO,74527,PR
241629,MAUA DA SERRA,74543,PR
241656,MEDIANEIRA,77011,PR
241754,MERCEDES,74560,PR
241781,MIRADOR,77038,PR
241839,MIRASELVA,77054,PR
241876,MISSAL,84697,PR
241922,MOREIRA SALLES,77070,PR
241990,MORRETES,77097,PR
242101,MUNHOZ DE MELLO,77119,PR
242149,NOSSA SENHORA DAS GRACAS,77135,PR
242213,NOVA ALIANCA DO IVAI,77151,PR
242246,NOVA AMERICA DA COLINA,77178,PR
242320,NOVA AURORA,79650,PR
242371,NOVA CANTU,77194,PR
242426,NOVA ESPERANCA,77216,PR
242471,NOVA ESPERANCA DO SUDOESTE,75027,PR
242500,NOVA FATIMA,77232,PR
242559,NOVA LARANJEIRAS,74586,PR
242597,NOVA LONDRINA,77259,PR
242645,NOVA OLIMPIA,79677,PR
242677,NOVA PRATA DO IGUACU,79952,PR
242728,NOVA SANTA BARBARA,74608,PR
242769,NOVA SANTA ROSA,79790,PR
242797,NOVA TEBAS,75760,PR
242890,NOVO ITACOLOMI,74420,PR
242944,ORTIGUEIRA,77275,PR
243024,OURIZONA,77291,PR
243055,OURO VERDE DO OESTE,74063,PR
243086,PAICANDU,77313,PR
243171,PALMAS,77330,PR
243265,PALMEIRA,77356,PR
243388,PALMITAL,77372,PR
243458,PALOTINA,77399,PR
243514,PARAISO DO NORTE,77410,PR
243569,PARANACITY,77437,PR
243634,PARANAGUA,77453,PR
243857,PARANAPOEMA,77470,PR
243903,PARANAVAI,77496,PR
244023,PATO BRAGADO,74624,PR
244064,PATO BRANCO,77518,PR
244177,PAULA FREITAS,77534,PR
244243,PAULO FRONTIN,77550,PR
244316,PEABIRU,77577,PR
244397,PEROBAL,75507,PR
244445,PEROLA,79693,PR
244493,PEROLA D OESTE,77593,PR
244522,PIEN,77615,PR
244603,PINHAIS,75043,PR
244764,PINHAL DE SAO BENTO,74640,PR
244792,PINHALAO,77631,PR
244835,PINHAO,77658,PR
244944,PIRAI DO SUL,77674,PR
245013,PIRAQUARA,77690,PR
245158,PITANGA,77712,PR
245243,PITANGUEIRAS,74667,PR
245267,PLANALTINA DO PARANA,77739,PR
245308,PLANALTO,77755,PR
245334,PONTA GROSSA,77771,PR
245654,PONTAL DO PARANA,75523,PR
245782,PORECATU,77798,PR
245862,PORTO AMAZONAS,77810,PR
245915,PORTO BARREIRO,75540,PR
245945,PORTO RICO,77836,PR
245987,PORTO VITORIA,77852,PR
246029,PRADO FERREIRA,75566,PR
246076,PRANCHITA,79910,PR
246098,PRESIDENTE CASTELO BRANCO,77879,PR
246144,PRIMEIRO DE MAIO,77895,PR
246204,PRUDENTOPOLIS,77917,PR
246304,QUARTO CENTENARIO,75582,PR
246365,QUATIGUA,77933,PR
246410,QUATRO BARRAS,77950,PR
246514,QUATRO PONTES,74683,PR
246540,QUEDAS DO IGUACU,79553,PR
246619,QUERENCIA DO NORTE,77976,PR
246677,QUINTA DO SOL,77992,PR
246742,QUITANDINHA,78018,PR
246823,RAMILANDIA,74705,PR
246869,RANCHO ALEGRE,78034,PR
246920,RANCHO ALEGRE D'OESTE,74721,PR
246958,REALEZA,78050,PR
247005,REBOUCAS,78077,PR
247080,RENASCENCA,78093,PR
247108,RESERVA,78115,PR
247211,RESERVA DO IGUACU,75604,PR
247250,RIBEIRAO CLARO,78131,PR
247288,RIBEIRAO DO PINHAL,78158,PR
247390,RIO AZUL,78174,PR
247454,RIO BOM,78190,PR
247517,RIO BONITO DO IGUACU,74748,PR
247580,RIO BRANCO DO IVAI,75620,PR
247618,RIO BRANCO DO SUL,78212,PR
247694,RIO NEGRO,78239,PR
247819,ROLANDIA,78255,PR
247953,RONCADOR,78271,PR
247991,RONDON,78298,PR
248025,ROSARIO DO IVAI,75744,PR
248065,SABAUDIA,78310,PR
248103,SALGADO FILHO,78336,PR
248134,SALTO DO ITARARE,78352,PR
248167,SALTO DO LONTRA,78379,PR
248180,SANTA AMELIA,78395,PR
248239,SANTA ANA DO ITARARE,78557,PR
248310,SANTA CECILIA DO PAVAO,78417,PR
248347,SANTA CRUZ DO MONTE CASTELO,78433,PR
248400,SANTA FE,78450,PR
248461,SANTA HELENA,79715,PR
248512,SANTA INES,78476,PR
248547,SANTA IZABEL DO IVAI,78492,PR
248575,SANTA IZABEL DO OESTE,78514,PR
248593,SANTA LUCIA,74764,PR
248618,SANTA MARIA DO OESTE,74802,PR
248688,SANTA MARIANA,78530,PR
248726,SANTA MONICA,74829,PR
248761,SANTA TEREZA DO OESTE,74080,PR
248810,SANTA TEREZINHA DE ITAIPU,84670,PR
248905,SANTO ANTONIO DA PLATINA,78590,PR
249026,SANTO ANTONIO DO CAIUA,78611,PR
249060,SANTO ANTONIO DO PARAISO,78638,PR
249109,SANTO ANTONIO DO SUDOESTE,78573,PR
249149,SANTO INACIO,78654,PR
249193,SAO CARLOS DO IVAI,78670,PR
249238,SAO JERONIMO DA SERRA,78697,PR
249299,SAO JOAO,78719,PR
249334,SAO JOAO DO CAIUA,78735,PR
249394,SAO JOAO DO IVAI,78751,PR
249450,SAO JOAO DO TRIUNFO,78778,PR
249506,SAO JORGE D OESTE,78816,PR
249538,SAO JORGE DO IVAI,78794,PR
249573,SAO JORGE DO PATROCINIO,79995,PR
249604,SAO JOSE DA BOA VISTA,78832,PR
249624,SAO JOSE DAS PALMEIRAS,84719,PR
249665,SAO JOSE DOS PINHAIS,78859,PR
249877,SAO MANOEL DO PARANA,74845,PR
249910,SAO MATEUS DO SUL,78875,PR
249995,SAO MIGUEL DO IGUACU,78891,PR
250111,SAO PEDRO DO IGUACU,74861,PR
250156,SAO PEDRO DO IVAI,78913,PR
250201,SAO PEDRO DO PARANA,78930,PR
250235,SAO SEBASTIAO DA AMOREIRA,78956,PR
250286,SAO TOME,78972,PR
250355,SAPOPEMA,78999,PR
250392,SARANDI,84611,PR
250566,SAUDADE DO IGUACU,75060,PR
250597,SENGES,79014,PR
250665,SERRANOPOLIS DO IGUACU,75647,PR
250705,SERTANEJA,79030,PR
250754,SERTANOPOLIS,79057,PR
250859,SIQUEIRA CAMPOS,79073,PR
250959,SULINA,75787,PR
250979,TAMARANA,75663,PR
251066,TAMBOARA,79090,PR
251098,TAPEJARA,79111,PR
251174,TAPIRA,79731,PR
251219,TEIXEIRA SOARES,79138,PR
251266,TELEMACO BORBA,79154,PR
251406,TERRA BOA,79170,PR
251441,TERRA RICA,79197,PR
251521,TERRA ROXA,79219,PR
251560,TIBAGI,79235,PR
251629,TIJUCAS DO SUL,79251,PR
251697,TOLEDO,79278,PR
251834,TOMAZINA,79294,PR
251880,TRES BARRAS DO PARANA,79871,PR
251913,TUNAS DO PARANA,74888,PR
251961,TUNEIRAS DO OESTE,79316,PR
252022,TUPASSI,79936,PR
252056,TURVO,84530,PR
252130,UBIRATA,79332,PR
252187,UMUARAMA,79359,PR
252323,UNIAO DA VITORIA,79375,PR
252445,UNIFLOR,79391,PR
252471,URAI,79413,PR
252587,VENTANIA,74900,PR
252640,VERA CRUZ DO OESTE,79898,PR
252686,VERE,79456,PR
252707,VILA ALTA,74926,PR
252743,VIRMOND,74969,PR
252773,VITORINO,79472,PR
252799,WENCESLAU BRAZ,79430,PR
252908,XAMBRE,79499,PR
252971,ANGRA DOS REIS,58017,RJ
253142,APERIBE,58181,RJ
253214,ARARUAMA,58033,RJ
253402,AREAL,58220,RJ
253509,ARMACAO DE BUZIOS,58408,RJ
253650,ARRAIAL DO CABO,59277,RJ
253781,BARRA DO PIRAI,58050,RJ
254007,BARRA MANSA,58076,RJ
254216,BELFORD ROXO,58041,RJ
254679,BOM JARDIM,58092,RJ
254804,BOM JESUS DO ITABAPOANA,58114,RJ
254893,CABO FRIO,58130,RJ
255116,CACHOEIRAS DE MACACU,58157,RJ
255347,CAMBUCI,58173,RJ
255458,CAMPOS,58190,RJ
255832,CANTAGALO,58211,RJ
255908,CARAPEBUS,58300,RJ
255977,CARDOSO MOREIRA,58068,RJ
256090,CARMO,58238,RJ
256176,CASIMIRO DE ABREU,58254,RJ
256282,COMENDADOR LEVY GASPARIAN,58165,RJ
256369,CONCEICAO DE MACABU,58270,RJ
256493,CORDEIRO,58297,RJ
256579,DUAS BARRAS,58319,RJ
256654,DUQUE DE CAXIAS,58335,RJ
257106,ENGENHEIRO PAULO DE FRONTIN,58351,RJ
257203,GUAPIMIRIM,58106,RJ
257342,IGUABA GRANDE,58262,RJ
257524,ITABORAI,58378,RJ
257757,ITAGUAI,58394,RJ
257953,ITALVA,59293,RJ
258081,ITAOCARA,58416,RJ
258179,ITAPERUNA,58432,RJ
258356,ITATIAIA,58440,RJ
258540,JAPERI,58149,RJ
258684,LAJE DO MURIAE,58459,RJ
258791,MACAE,58475,RJ
258989,MACUCO,58386,RJ
259048,MAGE,58491,RJ
259281,MANGARATIBA,58513,RJ
259481,MARICA,58530,RJ
259706,MENDES,58556,RJ
259867,MESQUITA,58467,RJ
260099,MIGUEL PEREIRA,58572,RJ
260263,MIRACEMA,58599,RJ
260347,NATIVIDADE,58610,RJ
260449,NILOPOLIS,58637,RJ
260639,NITEROI,58653,RJ
261120,NOVA FRIBURGO,58670,RJ
261366,NOVA IGUACU,58696,RJ
261872,PARACAMBI,58718,RJ
262006,PARAIBA DO SUL,58734,RJ
262145,PARATI,58750,RJ
262258,PATI DO ALFERES,59315,RJ
262383,PETROPOLIS,58777,RJ
262702,PINHEIRAL,58246,RJ
262817,PIRAI,58793,RJ
262924,PORCIUNCULA,58815,RJ
263023,PORTO REAL,58327,RJ
263152,QUATIS,58025,RJ
263244,QUEIMADOS,58122,RJ
263435,QUISSAMA,58009,RJ
263508,RESENDE,58831,RJ
263725,RIO BONITO,58858,RJ
263866,RIO CLARO,58874,RJ
263968,RIO DAS FLORES,58890,RJ
264041,RIO DAS OSTRAS,58203,RJ
264193,RIO DE JANEIRO,60011,RJ
265383,SANTA MARIA MADALENA,58912,RJ
265468,SANTO ANTONIO DE PADUA,58939,RJ
265564,SAO FIDELIS,58955,RJ
265695,SAO FRANCISCO DE ITABAPOANA,58289,RJ
265825,SAO GONCALO,58971,RJ
266358,SAO JOAO DA BARRA,58998,RJ
266489,SAO JOAO DE MERITI,59013,RJ
266885,SAO JOSE DE UBA,58343,RJ
266983,SAO JOSE DO VALE DO RIO PRETO,59331,RJ
267090,SAO PEDRO DA ALDEIA,59030,RJ
267271,SAO SEBASTIAO DO ALTO,59056,RJ
267325,SAPUCAIA,59072,RJ
267436,SAQUAREMA,59099,RJ
267627,SEROPEDICA,58424,RJ
267851,SILVA JARDIM,59110,RJ
267947,SUMIDOURO,59137,RJ
268021,TANGUA,58360,RJ
268162,TERESOPOLIS,59153,RJ
268413,TRAJANO DE MORAIS,59170,RJ
268510,TRES RIOS,59196,RJ
268672,VALENCA,59218,RJ
268852,VARRE E SAI,58084,RJ
268907,VASSOURAS,59234,RJ
269024,VOLTA REDONDA,59250,RJ
269307,ACARI,16012,RN
269349,AFONSO BEZERRA,16055,RN
269397,AGUA NOVA,16071,RN
269423,ALEXANDRIA,16098,RN
269457,ALMINO AFONSO,16110,RN
269487,ALTO DO RODRIGUES,16136,RN
269535,ANGICOS,16152,RN
269576,ANTONIO MARTINS,16179,RN
269605,APODI,16195,RN
269665,AREIA BRANCA,16217,RN
269704,ARES,16233,RN
269756,ASSU,16039,RN
269853,BAIA FORMOSA,16276,RN
269910,BARAUNA,30031,RN
269972,BARCELONA,16292,RN
270018,BENTO FERNANDES,16314,RN
270054,BOA SAUDE,17035,RN
270114,BODO,16101,RN
270150,BOM JESUS,16330,RN
270210,BREJINHO,16357,RN
270250,CAICARA DO NORTE,16047,RN
270286,CAICARA DO RIO DO VENTO,16373,RN
270332,CAICO,16390,RN
270393,CAMPO GRANDE,16250,RN
270425,CAMPO REDONDO,16411,RN
270484,CANGUARETAMA,16438,RN
270540,CARAUBAS,16454,RN
270589,CARNAUBA DOS DANTAS,16470,RN
270619,CARNAUBAIS,16497,RN
270659,CEARA MIRIM,16519,RN
270784,CERRO-CORA,16535,RN
270813,CORONEL EZEQUIEL,16551,RN
270863,CORONEL JOAO PESSOA,16578,RN
270895,CRUZETA,16594,RN
270922,CURRAIS NOVOS,16616,RN
271018,DOUTOR SEVERIANO,16632,RN
271045,ENCANTO,16659,RN
271069,EQUADOR,16675,RN
271104,ESPIRITO SANTO,16691,RN
271144,EXTREMOZ,16713,RN
271277,FELIPE GUERRA,16730,RN
271304,FERNANDO PEDROSA,16144,RN
271332,FLORANIA,16756,RN
271377,FRANCISCO DANTAS,16772,RN
271415,FRUTUOSO GOMES,17515,RN
271440,GALINHOS,16799,RN
271476,GOIANINHA,16810,RN
271551,GOVERNADOR DIX-SEPT ROSADO,16837,RN
271613,GROSSOS,16853,RN
271667,GUAMARE,16870,RN
271727,IELMO MARINHO,16896,RN
271817,IPANGUACU,16918,RN
271890,IPUEIRA,16934,RN
271920,ITAJA,16080,RN
271953,ITAU,16950,RN
271983,JACANA,16977,RN
272026,JANDAIRA,16993,RN
272073,JANDUIS,17019,RN
272098,JAPI,17051,RN
272145,JARDIM DE ANGICOS,17078,RN
272175,JARDIM DE PIRANHAS,17094,RN
272216,JARDIM DO SERIDO,17116,RN
272276,JOAO CAMARA,17132,RN
272351,JOAO DIAS,17159,RN
272367,JOSE DA PENHA,17175,RN
272387,JUCURUTU,17191,RN
272423,JUNDIA,16306,RN
272452,LAGOA D ANTA,17230,RN
272482,LAGOA DE PEDRAS,17256,RN
272515,LAGOA DE VELHOS,17272,RN
272550,LAGOA NOVA,17299,RN
272590,LAGOA SALGADA,17310,RN
272619,LAJES,17337,RN
272684,LAJES PINTADAS,17353,RN
272733,LUCRECIA,17370,RN
272760,LUIS GOMES,17396,RN
272790,MACAIBA,17418,RN
272950,MACAU,17434,RN
273033,MAJOR SALES,16160,RN
273052,MARCELINO VIEIRA,17450,RN
273078,MARTINS,17477,RN
273110,MAXARANGUAPE,17493,RN
273205,MESSIAS TARGINO,17213,RN
273228,MONTANHAS,17531,RN
273273,MONTE ALEGRE,17558,RN
273320,MONTE DAS GAMELEIRAS,17574,RN
273362,MOSSORO,17590,RN
273531,NATAL,17612,RN
273905,NISIA FLORESTA,17639,RN
273968,NOVA CRUZ,17655,RN
274007,OLHO D'AGUA DO BORGES,17671,RN
274038,OURO BRANCO,17698,RN
274064,PARANA,17710,RN
274089,PARAU,17736,RN
274126,PARAZINHO,17752,RN
274163,PARELHAS,17779,RN
274208,PARNAMIRIM,17795,RN
274366,PASSA E FICA,17817,RN
274387,PASSAGEM,17833,RN
274418,PATU,17850,RN
274466,PAU DOS FERROS,17876,RN
274511,PEDRA GRANDE,17892,RN
274540,PEDRA PRETA,17914,RN
274566,PEDRO AVELINO,17930,RN
274619,PEDRO VELHO,17957,RN
274664,PENDENCIAS,17973,RN
274748,PILOES,17990,RN
274773,POCO BRANCO,18015,RN
274846,PORTALEGRE,18031,RN
274871,PORTO DO MANGUE,16284,RN
274901,PUREZA,18074,RN
274962,RAFAEL FERNANDES,18090,RN
274987,RAFAEL GODEIRO,18937,RN
275010,RIACHO DA CRUZ,18112,RN
275030,RIACHO DE SANTANA,18139,RN
275050,RIACHUELO,18155,RN
275097,RIO DO FOGO,16268,RN
275163,RODOLFO FERNANDES,18171,RN
275187,RUY BARBOSA,18198,RN
275218,SANTA CRUZ,18236,RN
275282,SANTA MARIA,16241,RN
275331,SANTANA DO MATOS,18279,RN
275376,SANTANA DO SERIDO,18252,RN
275400,SANTO ANTONIO,18295,RN
275457,SAO BENTO DO NORTE,18317,RN
275484,SAO BENTO DO TRAIRI,18333,RN
275512,SAO FERNANDO,18350,RN
275533,SAO FRANCISCO DO OESTE,18210,RN
275557,SAO GONCALO DO AMARANTE,18376,RN
275739,SAO JOAO DO SABUGI,18392,RN
275772,SAO JOSE DE CAMPESTRE,18430,RN
275822,SAO JOSE DE MIPIBU,18414,RN
275882,SAO JOSE DO SERIDO,18457,RN
275908,SAO MIGUEL,18473,RN
275956,SAO MIGUEL DE TOUROS,16063,RN
276003,SAO PAULO DO POTENGI,18490,RN
276044,SAO PEDRO,18511,RN
276085,SAO RAFAEL,18538,RN
276126,SAO TOME,18554,RN
276185,SAO VICENTE,18570,RN
276216,SENADOR ELOI DE SOUZA,18597,RN
276266,SENADOR GEORGINO AVELINO,18619,RN
276296,SERRA CAIADA,18058,RN
276336,SERRA DE SAO BENTO,18635,RN
276370,SERRA DO MEL,16020,RN
276446,SERRA NEGRA DO NORTE,18651,RN
276483,SERRINHA,18678,RN
276538,SERRINHA DOS PINTOS,16209,RN
276563,SEVERIANO MELO,18694,RN
276590,SITIO NOVO,18716,RN
276627,TABOLEIRO GRANDE,18732,RN
276646,TAIPU,18759,RN
276709,TANGARA,18775,RN
276756,TENENTE ANANIAS,18791,RN
276783,TENENTE LAURENTINO CRUZ,16004,RN
276822,TIBAU,16225,RN
276863,TIBAU DO SUL,18813,RN
276902,TIMBAUBA DOS BATISTAS,18830,RN
276926,TOUROS,18856,RN
276987,TRIUNFO POTIGUAR,16128,RN
277024,UMARIZAL,18872,RN
277066,UPANEMA,18899,RN
277097,VARZEA,18910,RN
277137,VENHA VER,16187,RN
277163,VERA CRUZ,18953,RN
277209,VICOSA,18970,RN
277225,VILA FLOR,18996,RN
277265,ALTA FLORESTA DO OESTE,310,RO
277310,ALTO ALEGRE DOS PARECIS,736,RO
277388,ALTO PARAISO,639,RO
277465,ALVORADA DO OESTE,337,RO
277549,ARIQUEMES,78,RO
277686,BURITIS,779,RO
277758,CABIXI,450,RO
277801,CACAULANDIA,620,RO
277853,CACOAL,94,RO
277941,CAMPO NOVO DE RONDONIA,671,RO
278028,CANDEIAS DO JAMARI,477,RO
278192,CASTANHEIRAS,531,RO
278274,CEREJEIRAS,272,RO
278343,CHUPINGUAIA,809,RO
278415,COLORADO DO OESTE,230,RO
278465,CORUMBIARA,655,RO
278544,COSTA MARQUES,213,RO
278623,CUJUBIM,680,RO
278720,ESPIGAO D'OESTE,256,RO
278825,GOVERNADOR JORGE TEIXEIRA,612,RO
278894,GUAJARA MIRIM,19,RO
279006,ITAPUA DO OESTE,493,RO
279099,JARU,159,RO
279225,JI PARANA,51,RO
279368,MACHADINHO DO OESTE,396,RO
279446,MINISTRO ANDREAZZA,604,RO
279483,MIRANTE DA SERRA,574,RO
279549,MONTE NEGRO,663,RO
279610,NOVA BRASILANDIA,370,RO
279681,NOVA MAMORE,434,RO
279742,NOVA UNIAO,744,RO
279809,NOVO HORIZONTE DO OESTE,515,RO
279881,OURO PRETO DO OESTE,175,RO
279970,PARECIS,701,RO
280024,PIMENTA BUENO,116,RO
280131,PIMENTEIRAS DO OESTE,787,RO
280176,PORTO VELHO,35,RO
280538,PRESIDENTE MEDICI,191,RO
280638,PRIMAVERA DE RONDONIA,728,RO
280691,RIO CRESPO,647,RO
280749,ROLIM DE MOURA,299,RO
280850,SANTA LUZIA DO OESTE,353,RO
280928,SAO FELIPE D OESTE,710,RO
280991,SAO FRANCISCO DO GUAPORE,795,RO
281096,SAO MIGUEL DO GUAPORE,418,RO
281172,SERINGUEIRAS,582,RO
281291,TEIXEIROPOLIS,752,RO
281336,THEOBROMA,590,RO
281404,URUPA,566,RO
281481,VALE DO ANARI,698,RO
281542,VALE DO PARAISO,558,RO
281585,VILHENA,132,RO
281701,ALTO ALEGRE,3050,RR
281770,AMAJARI,3042,RR
281827,BOA VISTA,3018,RR
282089,BONFIM,3077,RR
282155,CANTA,3069,RR
282245,CARACARAI,3034,RR
282338,CAROEBE,3000,RR
282401,IRACEMA,3026,RR
282470,MUCAJAI,3093,RR
282570,NORMANDIA,3115,RR
282624,PACARAIMA,3123,RR
282693,RORAINOPOLIS,3085,RR
282782,SAO JOAO DA BALIZA,3131,RR
282844,SAO LUIZ DO ANAUA,3158,RR
282907,UIRAMUTA,3107,RR
282946,ACEGUA,88986,RS
283002,AGUA SANTA,84948,RS
283018,AGUDO,85014,RS
283063,AJURICABA,85030,RS
283095,ALECRIM,85057,RS
283126,ALEGRETE,85073,RS
283223,ALEGRIA,85545,RS
283256,ALMIRANTE TAMANDARE DO SUL,89001,RS
283274,ALPESTRE,85090,RS
283310,ALTO ALEGRE,84808,RS
283337,ALTO FELIZ,86282,RS
283374,ALVORADA,85111,RS
283555,AMARAL FERRADOR,86045,RS
283593,AMETISTA DO SUL,86304,RS
283629,ANDRE DA ROCHA,86100,RS
283659,ANTA GORDA,85138,RS
283684,ANTONIO PRADO,85154,RS
283727,ARAMBARE,86320,RS
283771,ARARICA,88862,RS
283846,ARATIBA,85170,RS
283878,ARROIO DO MEIO,85197,RS
283928,ARROIO DO PADRE,89028,RS
283955,ARROIO DO SAL,85308,RS
284028,ARROIO DO TIGRE,85235,RS
284064,ARROIO DOS RATOS,85219,RS
284153,ARROIO GRANDE,85251,RS
284200,ARVOREZINHA,85278,RS
284241,AUGUSTO PESTANA,85294,RS
284268,AUREA,84735,RS
284301,BAGE,85316,RS
284450,BALNEARIO PINHAL,88927,RS
284525,BARAO,86223,RS
284565,BARAO DE COTEGIPE,85332,RS
284602,BARAO DO TRIUNFO,86347,RS
284629,BARRA DO GUARITA,86363,RS
284660,BARRA DO QUARAI,88625,RS
284711,BARRA DO RIBEIRO,85375,RS
284796,BARRA DO RIO AZUL,86380,RS
284822,BARRA FUNDA,86401,RS
284845,BARRACAO,85359,RS
284876,BARROS CASSAL,85391,RS
284909,BENJAMIN CONSTANT DO SUL,88420,RS
284932,BENTO GONCALVES,85413,RS
285072,BOA VISTA DAS MISSOES,86428,RS
285097,BOA VISTA DO BURICA,85430,RS
285123,BOA VISTA DO CADEADO,89044,RS
285164,BOA VISTA DO INCRA,89060,RS
285216,BOA VISTA DO SUL,88161,RS
285241,BOM JESUS,85456,RS
285291,BOM PRINCIPIO,98230,RS
285326,BOM PROGRESSO,86444,RS
285357,BOM RETIRO DO SUL,85472,RS
285395,BOQUEIRAO DO LEAO,84921,RS
285435,BOSSOROCA,85499,RS
285468,BOZANO,89087,RS
285501,BRAGA,85510,RS
285532,BROCHIER,85065,RS
285569,BUTIA,85537,RS
285648,CACAPAVA DO SUL,85553,RS
285732,CACEQUI,85570,RS
285765,CACHOEIRA DO SUL,85596,RS
